"REF_DATE","GEO","DGUID","Age of mother","Marital status of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401374","1.4.3.2","55.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401375","1.4.4.1","34","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401376","1.4.4.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401377","1.4.5.1","537","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401378","1.4.5.2","0.7","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401379","1.4.6.1","92","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401380","1.4.6.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401381","1.4.7.1","1594","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401382","1.4.7.2","2.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401383","1.5.1.1","150027","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401384","1.5.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401385","1.5.2.1","26306","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401386","1.5.2.2","17.5","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401387","1.5.3.1","118415","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401388","1.5.3.2","78.9","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401389","1.5.4.1","112","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401390","1.5.4.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401391","1.5.5.1","1877","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401392","1.5.5.2","1.3","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401393","1.5.6.1","198","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401394","1.5.6.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401395","1.5.7.1","3119","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 25 to 29 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401396","1.5.7.2","2.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401397","1.6.1.1","107561","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401398","1.6.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401399","1.6.2.1","13643","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401400","1.6.2.2","12.7","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401401","1.6.3.1","88885","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401402","1.6.3.2","82.6","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401403","1.6.4.1","151","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401404","1.6.4.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401405","1.6.5.1","2130","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401406","1.6.5.2","2.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401407","1.6.6.1","172","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401408","1.6.6.2","0.2","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401409","1.6.7.1","2580","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 30 to 34 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401410","1.6.7.2","2.4","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401411","1.7.1.1","33107","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401412","1.7.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401413","1.7.2.1","3935","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401414","1.7.2.2","11.9","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401415","1.7.3.1","26938","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401416","1.7.3.2","81.4","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401417","1.7.4.1","86","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401418","1.7.4.2","0.3","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401419","1.7.5.1","1078","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401420","1.7.5.2","3.3","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401421","1.7.6.1","79","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401422","1.7.6.2","0.2","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401423","1.7.7.1","991","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 35 to 39 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401424","1.7.7.2","3.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401425","1.8.1.1","4124","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401426","1.8.1.2","100.0","","","","1"
